driverStandingsId,points,position,wins,raceId,driverId
44000,0,45,0,831,534
43999,0,43,0,831,699
43998,0,42,0,831,529
43997,0,30,0,831,518
43996,0,27,0,831,767
43995,0,23,0,831,731
43994,2,18,0,831,734
43993,3,14,0,831,612
43992,2,15,0,831,658
43991,6,8,0,831,673
43990,9,7,1,831,766
43989,0,65,0,831,721
43988,21,3,1,831,498
43987,15,5,0,831,633
43986,2,16,0,831,704
43985,0,55,0,831,725
43984,0,53,0,831,765
43983,0,35,0,831,687
43982,0,34,0,831,764
43981,0,25,0,831,660
43980,0,41,0,831,501
43979,0,21,0,831,723
43978,0,37,0,831,741
43977,3,13,0,831,627
43976,0,32,0,831,475
43975,0,20,0,831,589
43974,25,2,2,831,647
43973,2,17,0,831,640
43972,3,12,0,831,763
43971,17,4,1,831,642
43970,10,6,0,831,641
43969,27,1,2,831,579
44130,0,62,0,832,669
44129,0,54,0,832,783
44128,0,39,0,832,580
44127,0,73,0,832,781
44126,0,66,0,832,622
44125,0,37,0,832,762
44124,0,68,0,832,780
44123,0,56,0,832,756
44122,0,38,0,832,680
44121,0,64,0,832,779
44120,0,60,0,832,747
44119,0,59,0,832,777
44118,0,52,0,832,776
44117,0,41,0,832,708
44116,0,40,0,832,619
44115,0,34,0,832,778
44114,0,28,0,832,661
44113,7,8,0,832,697
44112,0,70,0,832,670
44111,0,25,0,832,626
44110,0,22,0,832,609
44109,0,45,0,832,427
44108,0,51,0,832,775
44107,0,32,0,832,774
44106,5,10,0,832,686
44105,4,11,1,832,786
44104,0,29,0,832,773
44103,0,24,0,832,429
44102,0,84,0,832,728
44101,0,83,0,832,732
44100,0,82,0,832,772
44099,0,81,0,832,726
44098,0,80,0,832,657
44097,0,79,0,832,629
44096,0,78,0,832,449
44095,0,77,0,832,771
44094,0,76,0,832,733
44093,0,75,0,832,630
44092,0,74,0,832,526
44091,0,72,0,832,770
44090,0,71,0,832,593
44089,0,67,0,832,521
44088,0,63,0,832,769
44087,0,61,0,832,700
44086,0,58,0,832,615
44085,0,53,0,832,653
44084,0,50,0,832,654
44083,0,49,0,832,768
44082,0,48,0,832,729
